No.,label,Mnemonic,SubSpecies,Quadrat,PX,PY,PXE,PXN,PYE,PYN,UTM Northi,UTM Eastin,TreeID,Tag,StemID,StemTag,Census,DBH,HOM,Date,Codes,Stem,Status,geometry,easting_short,northing_short,tree_id
13380,Acacia brevispica,ACACBR,,4623,904.52472,448.39111,815.1449993,392.0505059,-194.347327,404.0837834,32204.45429,263530.2677,175788,461127,348747,461127,1,30.0,0.5,3/20/12,M,main,alive,POINT (263530.2677 32204.45429),263530.0,32204.0,6147
13601,Acacia brevispica,ACACBR,,4723,935.42639,446.27594,842.9931512,405.4442972,-193.4305433,402.1776219,32215.94192,263559.0326,176409,471627,350644,471627,1,17.0,1.3,3/20/12,M,main,alive,POINT (263559.0326 32215.94192),263559.0,32216.0,5539
13794,Acacia brevispica,ACACBR,,4823,942.93707,442.58832,849.7616707,408.6996708,-191.8322086,398.8543904,32215.87406,263567.3995,177097,482035,353148,482035,1,23.0,0.5,3/22/12,"I,M,Q",main,alive,POINT (263567.3995 32215.87406),263567.0,32216.0,5540
13828,Acacia brevispica,ACACBR,,4823,941.65283,447.61377,848.6043317,408.1430393,-194.0104025,403.3832555,32219.84629,263564.0639,177104,482077,353190,482077,1,24.0,0.5,3/22/12,M,main,alive,POINT (263564.0639 32219.84629),263564.0,32220.0,5340
13935,Acacia brevispica,ACACBR,,4823,955.65112,449.63245,861.2193944,414.2103546,-194.8853642,405.2024616,32227.73282,263575.804,177163,482330,353443,482330,1,25.0,0.5,3/22/12,M,main,alive,POINT (263575.804 32227.73282),263576.0,32228.0,4908
13953,Acacia brevispica,ACACBR,,4823,957.3429,449.90366,862.7440028,414.9436272,-195.0029155,405.4468723,32228.7105,263577.2111,177166,482353,353466,482353,1,19.0,0.53,3/22/12,M,main,alive,POINT (263577.2111 32228.7105),263577.0,32229.0,4827
14032,Acacia brevispica,ACACBR,,4824,957.24152,461.47736,862.6526406,414.8996858,-200.0193344,415.8769285,32239.09661,263572.1033,177357,483253,354366,483253,1,12.0,0.5,3/25/12,M,main,alive,POINT (263572.1033 32239.09661),263572.0,32239.0,4333
14064,Acacia brevispica,ACACBR,,4825,950.47137,486.89215,856.5514763,411.9652821,-211.034933,438.780381,32259.06566,263554.9865,177484,483765,354876,483765,1,17.0,0.5,4/8/12,M,main,alive,POINT (263554.9865 32259.06566),263555.0,32259.0,3425
14266,Acacia brevispica,ACACBR,,4921,962.8717,411.92068,867.7264799,417.3399894,-178.5398535,371.2171431,32196.87713,263598.6566,178181,492413,357452,492413,1,15.0,0.5,5/9/12,M,main,alive,POINT (263598.6566 32196.87713),263599.0,32197.0,6535
14276,Acacia brevispica,ACACBR,,4921,967.18964,411.82111,871.6177469,419.2115254,-178.4966966,371.127412,32198.65894,263602.5911,178196,492480,357519,492480,1,48.0,0.5,5/9/12,M,main,alive,POINT (263602.5911 32198.65894),263603.0,32199.0,6403
14289,Acacia brevispica,ACACBR,,4921,972.12341,410.3699,876.0639913,421.3499822,-177.8676949,369.8196019,32199.48958,263607.6663,178199,492493,357532,492493,1,33.0,0.5,5/9/12,M,main,alive,POINT (263607.6663 32199.48958),263608.0,32199.0,6404
